id,name,url,img
66600539,Roleski,https://sklep.sfd.pl/Roleski-p66600539.html,
66600341,Sante,https://sklep.sfd.pl/Sante-p66600341.html,
66600198,Scitec nutrition,https://sklep.sfd.pl/Scitec_nutrition-p66600198.html,
66600048,SFD NUTRITION,https://sklep.sfd.pl/SFD_NUTRITION-p66600048.html,
66600421,SFD POWER WEAR,https://sklep.sfd.pl/SFD_POWER_WEAR-p66600421.html,
66600508,SFD WEAR,https://sklep.sfd.pl/SFD_WEAR-p66600508.html,
66600511,SPOKEY,https://sklep.sfd.pl/SPOKEY-p66600511.html,
66600228,Starpharma,https://sklep.sfd.pl/Starpharma-p66600228.html,
66600141,Swanson,https://sklep.sfd.pl/Swanson-p66600141.html,
11,Trec,https://sklep.sfd.pl/Trec-p11.html,
9,Universal Nutrition,https://sklep.sfd.pl/Universal_Nutrition-p9.html,
66600209,USN,https://sklep.sfd.pl/USN-p66600209.html,
66600538,WK DZIK,https://sklep.sfd.pl/WK_DZIK-p66600538.html,
66600542,YOU,https://sklep.sfd.pl/YOU-p66600542.html,
4,Zestawy,https://sklep.sfd.pl/Zestawy-p4.html,
